id1,id2,sign
0,1,1
0,2,1
0,3,1
0,5,1
0,9,1
0,10,1
0,21,1
0,23,1
0,82,1
0,129,1
0,155,1
0,176,1
0,213,1
0,223,1
0,237,1
0,321,1
0,469,1
0,488,1
0,504,1
0,613,1
0,636,1
0,808,1
0,884,1
0,967,1
0,1273,1
0,1287,-1
0,1319,1
0,1337,-1
0,1402,1
0,1526,1
0,1575,1
0,1696,1
0,1778,1
0,1785,1
0,1979,1
0,1980,1
0,2129,1
0,2130,1
0,2385,1
0,2571,1
1,0,1
1,3,1
1,5,1
1,6,1
1,7,1
1,10,1
1,11,1
1,12,1
1,15,1
1,27,1
1,35,1
1,36,1
1,52,1
1,54,1
1,58,1
1,78,1
1,89,1
1,93,1
1,100,1
1,108,1
1,114,1
1,122,1
1,123,1
1,134,1
1,155,1
1,159,1
1,161,-1
1,178,1
1,200,1
1,340,1
1,390,1
1,461,1
1,586,1
1,588,1
1,602,1
1,605,1
1,608,1
1,683,1
1,697,1
1,712,1
1,732,1
1,792,-1
1,1319,1
1,3291,1
1,5803,1
2,0,1
2,3,1
2,10,1
3,0,1
3,1,1
3,2,1
3,4,1
3,5,1
3,6,1
3,7,1
3,9,1
3,10,1
3,11,1
3,12,1
3,13,1
3,14,1
3,15,1
3,19,1
3,20,1
3,21,1
3,22,1
3,23,1
3,24,1
3,27,1
3,29,1
3,31,1
3,32,1
3,35,1
3,36,1
3,38,1
3,39,1
3,41,1
3,45,1
3,47,1
3,49,1
3,50,1
3,51,1
3,53,1
3,54,1
3,56,1
3,57,1
3,58,-1
3,60,1
3,70,1
3,77,1
3,78,1
3,79,1
3,81,1
3,82,1
3,83,1
3,89,1
3,92,1
3,93,1
3,94,1
3,96,1
3,98,1
3,99,1
3,101,1
3,102,1
3,103,1
3,121,1
3,127,1
3,134,1
3,136,1
3,138,1
3,145,1
3,150,1
3,159,1
3,167,1
3,172,1
3,176,1
3,178,1
3,180,1
3,181,1
3,188,1
3,200,1
3,202,1
3,205,1
3,215,1
3,216,1
3,221,1
3,227,1
3,230,1
3,233,1
3,252,1
3,259,1
3,264,1
3,265,1
3,267,1
3,268,1
3,276,1
3,279,1
3,295,1
3,297,1
3,300,1
3,321,1
3,331,1
3,336,1
3,338,1
3,356,1
3,372,1
3,375,1
3,384,1
3,393,1
3,397,1
3,414,1
3,424,1
3,429,1
3,434,1
3,436,1
3,448,1
3,456,1
3,471,1
3,485,1
3,488,1
3,490,1
3,491,1
3,498,1
3,516,1
3,521,1
3,522,1
3,542,1
3,543,1
3,583,1
3,589,1
3,598,1
3,622,-1
3,626,1
3,644,1
3,654,1
3,680,1
3,725,1
3,732,1
3,775,1
3,776,1
3,813,1
3,835,1
3,945,-1
3,959,1
3,1003,1
3,1086,1
3,1154,1
3,1169,1
3,1197,1
3,1234,1
3,1272,1
3,1273,1
3,1274,1
3,1308,1
3,1309,1
3,1319,1
3,1322,1
3,1325,1
3,1337,-1
3,1350,1
3,1401,1
3,1402,1
3,1453,1
3,1461,1
3,1495,1
3,1509,1
3,1511,1
3,1526,1
3,1537,1
3,1564,1
3,1571,1
3,1594,1
3,1643,1
3,1650,1
3,1662,1
3,1672,1
3,1693,1
3,1715,-1
3,1745,1
3,1755,-1
3,1785,1
3,1796,1
3,1809,1
3,1846,1
3,1867,1
3,1891,1
3,1899,1
3,1951,1
3,1979,1
3,1990,1
3,1991,1
3,2010,1
3,2038,-1
3,2066,1
3,2067,1
3,2071,1
3,2082,1
3,2118,1
3,2206,1
3,2247,1
3,2260,1
3,2277,1
3,2369,-1
3,2385,1
3,2400,-1
3,2414,1
3,2569,1
3,2571,1
3,2688,1
3,3219,1
3,3312,1
3,3433,1
3,3617,1
3,3815,1
3,4071,1
3,4169,1
3,4387,1
3,4434,1
3,4757,1
3,4823,1
3,5332,1
3,5574,1
3,5799,1
4,24,1
4,44,1
4,66,1
4,67,1
4,107,1
4,123,1
4,194,1
4,253,1
4,390,1
4,680,1
4,1234,1
4,1408,1
4,1526,1
4,2086,1
4,4169,1
5,0,1
5,1,1
5,3,1
5,6,1
5,7,1
5,10,1
5,14,1
5,17,1
5,20,1
5,23,1
5,27,1
5,28,1
5,29,1
5,36,1
5,38,1
5,39,1
5,42,1
5,46,1
5,58,1
5,62,1
5,92,1
5,147,1
5,159,1
5,239,1
5,259,1
5,275,1
5,296,1
5,357,-1
5,390,1
5,399,1
5,410,1
5,434,1
5,471,1
5,488,1
5,489,1
5,491,1
5,542,1
5,792,-1
5,858,1
5,915,1
5,1154,1
5,1198,1
5,1210,1
5,1238,-1
5,1308,1
5,1322,1
5,1402,1
5,1526,1
5,1611,1
5,1796,1
5,1846,1
5,1929,1
5,1938,1
5,2087,1
5,2115,1
5,2225,1
5,2280,1
5,2399,1
5,2913,1
5,3603,1
5,4750,1
5,4917,1
5,5402,1
7,0,-1
7,1,1
7,3,1
7,5,1
7,8,1
7,9,1
7,10,1
7,14,1
7,16,1
7,19,1
7,22,1
7,23,1
7,35,1
7,36,1
7,41,1
7,60,1
7,66,1
7,93,1
7,114,1
7,117,1
7,138,1
7,156,1
7,157,1
7,167,1
7,233,1
7,264,1
7,295,1
7,297,1
7,334,1
7,401,1
7,410,1
7,434,1
7,435,1
7,445,1
7,461,1
7,464,1
7,471,1
7,488,1
7,491,1
7,499,1
7,542,1
7,543,1
7,545,1
7,557,1
7,558,1
7,559,-1
7,565,1
7,571,1
7,572,1
7,573,1
7,576,1
7,577,1
7,588,1
7,589,1
7,598,1
7,605,1
7,636,1
7,650,1
7,656,-1
7,662,1
7,683,1
7,694,1
7,695,1
7,697,1
7,704,1
7,718,1
7,727,1
7,744,1
7,792,-1
7,814,1
7,835,1
7,838,1
7,859,1
7,945,1
7,994,1
7,1003,1
7,1081,1
7,1156,1
7,1174,1
7,1175,1
7,1178,1
7,1197,1
7,1234,-1
7,1273,1
7,1294,1
7,1308,-1
7,1322,1
7,1346,1
7,1350,1
7,1365,1
7,1481,1
7,1487,1
7,1491,1
7,1509,1
7,1537,1
7,1543,1
7,1581,1
7,1594,1
7,1624,1
7,1626,1
7,1697,1
7,1698,1
7,1700,1
7,1715,-1
7,1734,1
7,1738,1
7,1755,-1
7,1778,1
7,1779,1
7,1796,1
7,1809,1
7,1835,1
7,1846,1
7,1849,1
7,1856,1
7,1857,1
7,1862,1
7,1867,1
7,1868,1
7,1869,1
7,1878,1
7,1885,1
7,1913,1
7,1932,1
7,1936,1
7,1937,1
7,1942,1
7,1944,1
7,1951,1
7,1952,1
7,1957,1
7,1969,1
7,1976,1
7,1980,-1
7,1990,1
7,2006,1
7,2015,1
7,2050,1
7,2066,1
7,2071,1
7,2101,1
7,2115,1
7,2125,1
7,2135,1
7,2147,1
7,2154,1
7,2161,1
7,2165,1
7,2170,-1
7,2199,1
7,2200,-1
7,2204,1
7,2225,1
7,2249,1
7,2323,1
7,2339,1
7,2345,1
7,2430,-1
7,2443,1
7,2484,1
7,2486,1
7,2488,1
7,2495,-1
7,2519,1
7,2542,1
7,2571,1
7,2613,1
7,2710,1
7,2725,1
7,2762,1
7,2778,1
7,2827,-1
7,2876,1
7,2877,1
7,2944,1
7,2956,1
7,3025,1
7,3081,1
7,3116,1
7,3219,1
7,3291,1
7,3300,1
7,3325,1
7,3349,1
7,3358,1
7,3367,-1
7,3376,1
7,3440,1
7,3521,1
7,3526,1
7,3537,1
7,3618,1
7,3818,1
7,3891,1
7,4006,1
7,4119,1
7,4121,1
7,4141,1
7,4180,1
7,4236,1
7,4261,1
7,4393,1
7,4406,1
7,4478,1
7,5601,-1
7,5787,1
7,5791,1
7,5847,1
7,5848,-1
7,5859,1
9,0,1
9,1,1
9,3,1
9,6,1
9,11,1
9,13,1
9,16,1
9,36,1
10,0,1
10,1,1
10,2,1
10,3,1
10,5,1
10,6,1
10,7,1
10,11,1
10,12,1
10,14,1
10,15,1
10,18,1
10,19,1
10,22,1
10,23,1
10,24,1
10,27,1
10,29,1
10,31,1
10,34,1
10,35,1
10,36,1
10,37,1
10,38,1
10,41,1
10,46,1
10,49,1
10,50,1
10,51,1
10,53,1
10,54,1
10,56,1
10,58,1
10,63,1
10,66,1
10,69,1
10,71,1
10,76,1
10,77,1
10,78,1
10,79,1
10,84,1
10,86,1
10,87,1
10,89,1
10,90,1
10,91,1
10,92,1
10,93,1
10,94,1
10,95,1
10,98,1
10,100,1
10,101,1
10,102,1
10,110,1
10,111,1
10,113,1
10,114,1
10,118,1
10,122,1
10,127,1
10,131,1
10,135,-1
10,138,1
10,141,1
10,142,1
10,145,1
10,146,1
10,151,1
10,153,1
10,155,1
10,157,1
10,159,1
10,160,1
10,161,1
10,163,1
10,164,1
10,165,1
10,166,1
10,167,1
10,169,1
10,172,1
10,176,1
10,182,1
10,185,1
10,189,1
10,190,1
10,195,1
10,206,1
10,207,1
10,215,1
10,221,1
10,226,1
10,228,1
10,233,1
10,237,1
10,240,1
10,242,1
10,249,1
10,250,1
10,252,1
10,259,1
10,260,1
10,266,-1
10,269,1
10,277,1
10,281,1
10,288,1
10,298,1
10,307,1
10,308,1
10,316,1
10,320,1
10,323,1
10,331,1
10,332,1
10,333,1
10,344,1
10,349,-1
10,354,1
10,362,1
10,377,1
10,381,1
10,383,1
10,396,1
10,398,1
10,407,-1
10,408,1
10,410,1
10,411,1
10,417,1
10,422,1
10,424,1
10,427,1
10,432,1
10,436,1
10,437,1
10,450,1
10,471,1
10,477,1
10,484,1
10,488,1
10,489,1
10,491,1
10,493,1
10,498,1
10,500,1
10,501,1
10,520,1
10,536,1
10,543,1
10,572,1
10,573,1
10,576,1
10,577,1
10,593,1
10,596,1
10,601,1
10,606,1
10,607,1
10,617,1
10,661,1
10,674,1
10,677,1
10,684,1
10,707,1
10,745,1
10,789,1
10,831,1
10,835,1
10,842,1
10,856,-1
10,880,1
10,897,1
10,910,1
10,911,1
10,915,1
10,945,1
10,960,1
10,983,1
10,991,1
10,1003,1
10,1051,1
10,1052,1
10,1107,1
10,1120,1
10,1156,1
10,1175,1
10,1227,-1
10,1234,1
10,1272,1
10,1273,1
10,1274,1
10,1291,1
10,1294,1
10,1366,1
10,1382,1
10,1402,1
10,1453,-1
10,1478,1
10,1509,1
10,1545,1
10,1581,1
10,1611,1
10,1612,1
10,1635,1
10,1651,1
10,1734,1
10,1807,1
10,1846,1
10,1927,1
10,1980,1
10,1989,1
10,1991,1
10,2039,1
10,2117,1
10,2145,1
10,2172,1
10,2257,1
10,2309,1
10,2329,1
10,2335,1
10,2464,1
10,2569,1
10,2864,1
10,2962,1
10,3059,1
10,4847,1
10,5327,1
10,5328,1
10,5331,1
11,1,1
11,3,1
11,6,1
11,9,1
11,10,1
11,13,1
11,24,1
11,27,1
11,52,1
11,54,1
11,82,1
11,89,1
11,107,1
11,189,1
11,241,1
11,264,1
11,400,1
11,433,1
11,449,1
11,570,1
11,729,1
11,2135,1
13,3,1
14,3,1
14,5,1
14,6,1
14,7,1
14,10,1
14,12,1
14,15,1
14,18,1
14,27,1
14,57,1
14,108,1
14,260,1
14,313,1
14,354,1
14,471,1
14,967,1
14,1230,1
14,1808,1
14,2763,1
14,3116,1
14,3647,-1
14,3659,-1
14,3660,-1
14,3662,-1
14,3663,-1
14,3685,1
15,3,1
15,10,1
15,12,1
15,14,1
15,21,1
15,29,1
15,43,1
15,76,1
15,91,1
15,184,1
15,218,1
15,479,1
15,635,1
15,896,1
15,1169,1
15,1170,1
15,1171,1
15,1172,1
17,5,1
17,23,1
17,580,1
17,629,1
17,733,1
17,757,1
17,884,1
17,1337,-1
17,1812,1
17,1930,1
17,2072,1
17,2085,1
18,10,1
18,23,1
18,43,1
18,89,1
18,184,1
18,315,1
18,2725,1
19,3,1
19,7,1
19,10,1
19,32,1
19,33,1
19,54,1
19,58,1
19,93,1
19,127,1
19,143,1
19,155,1
19,163,1
19,167,1
19,169,1
19,176,1
19,205,1
19,211,1
19,230,1
19,233,1
19,237,1
19,257,1
19,259,1
19,284,1
19,291,1
19,320,1
19,350,1
19,413,1
19,472,1
19,607,1
19,737,1
19,781,1
19,841,1
19,1125,1
20,3,1
20,5,1
21,0,1
21,3,1
21,15,1
21,1154,1
21,2551,1
21,4089,1
22,3,1
22,7,1
22,10,1
23,0,1
23,3,1
23,7,1
23,10,1
23,17,1
23,18,1
23,40,1
23,41,1
23,43,1
23,44,1
23,55,1
23,60,1
23,66,1
23,78,1
23,101,1
23,108,1
23,143,1
23,145,1
23,201,1
23,203,1
23,205,1
23,222,1
23,237,1
23,277,1
23,295,1
23,297,1
23,315,1
23,318,1
23,325,1
23,328,1
23,353,1
23,370,1
23,394,1
23,397,1
23,407,-1
23,434,1
23,498,1
23,504,1
23,531,1
23,542,1
23,613,1
23,656,1
23,680,1
23,727,1
23,748,1
23,775,1
23,787,1
23,789,1
23,814,1
23,825,1
23,826,1
23,845,1
23,851,1
23,887,1
23,899,1
23,924,1
23,925,1
23,945,1
23,994,1
23,1002,1
23,1042,1
23,1047,1
23,1066,1
23,1067,1
23,1087,1
23,1088,1
23,1107,1
23,1154,1
23,1169,1
23,1197,1
23,1227,1
23,1234,1
23,1242,1
23,1249,1
23,1250,1
23,1254,1
23,1259,1
23,1270,1
23,1283,1
23,1293,1
23,1295,1
23,1304,1
23,1308,1
23,1312,1
23,1317,1
23,1318,1
23,1336,1
23,1337,1
23,1344,-1
23,1346,1
23,1350,1
23,1358,1
23,1359,1
23,1367,1
23,1371,1
23,1380,1
23,1386,1
23,1388,1
23,1391,1
23,1392,1
23,1393,1
23,1398,1
23,1400,1
23,1401,1
23,1402,1
23,1405,1
23,1406,1
23,1407,1
23,1408,1
23,1414,1
23,1415,1
23,1417,1
23,1427,1
23,1431,1
23,1432,1
23,1436,1
23,1437,1
23,1438,1
23,1439,1
23,1446,1
23,1447,1
23,1450,1
23,1451,1
23,1457,1
23,1459,1
23,1469,1
23,1470,1
23,1476,1
23,1478,1
23,1482,1
23,1487,1
23,1488,1
23,1493,1
23,1494,1
23,1498,1
23,1501,1
23,1502,1
23,1506,1
23,1509,1
23,1511,1
23,1512,1
23,1514,1
23,1515,1
23,1516,1
23,1532,1
23,1543,1
23,1544,1
23,1546,1
23,1550,1
23,1561,1
23,1564,1
23,1567,1
23,1569,1
23,1577,1
23,1579,1
23,1581,1
23,1590,1
23,1595,1
23,1596,1
23,1599,1
23,1600,1
23,1601,1
23,1602,1
23,1603,1
23,1611,1
23,1618,1
23,1619,1
23,1620,1
23,1624,1
23,1627,1
23,1640,1
23,1644,1
23,1648,1
23,1651,1
23,1657,1
23,1666,1
23,1669,1
23,1675,1
23,1676,1
23,1677,1
23,1685,1
23,1687,1
23,1709,1
23,1710,1
23,1729,1
23,1731,1
23,1734,1
23,1739,1
23,1740,1
23,1743,1
23,1747,1
23,1751,1
23,1753,1
23,1757,1
23,1768,1
23,1778,1
23,1780,1
23,1782,1
23,1784,1
